ranking,song,band_singer,Gender,songurl,titletext,url,year,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
12,Try Again,Aaliyah,#N/A,/wiki/Try_Again_(Aaliyah_song),Try Again,/wiki/Aaliyah,2000,6Wnlq1Pu3I0BajLvxn05Vr,0.794,0.662,6,-4.913,0,0.249,0.0789,0,0.0937,0.683,93.053,audio_features,6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/tracks/6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/audio-analysis/6Wnlq1Pu3I0BajLvxn05Vr,284640,4
13,"Jumpin', Jumpin'",Destiny's Child,Band,"/wiki/Jumpin%27,_Jumpin%27","Jumpin', Jumpin'",/wiki/Destiny%27s_Child,2000,4pmc2AxSEq6g7hPVlJCPyP,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,,,,,,
14,Thong Song,Sisqó,#N/A,/wiki/Thong_Song,Thong Song,/wiki/Sisq%C3%B3,2000,5Mmk2ii6laakqfeCT7OnVD,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,audio_features,5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/tracks/5Mmk2ii6laakqfeCT7OnVD,https://api.spotify.com/v1/audio-analysis/5Mmk2ii6laakqfeCT7OnVD,253733,4
15,Kryptonite,3 Doors Down,Band,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2000,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933,4
16,There You Go,Pink,Solo Female,/wiki/There_You_Go,There You Go,/wiki/Pink_(singer),2000,3IQMlYFrnoTa6xJ15rlqTN,0.242,0.891,7,-2.71,1,0.0443,0.00559,0.215,0.104,0.515,156.288,audio_features,3IQMlYFrnoTa6xJ15rlqTN,https://api.spotify.com/v1/tracks/3IQMlYFrnoTa6xJ15rlqTN,https://api.spotify.com/v1/audio-analysis/3IQMlYFrnoTa6xJ15rlqTN,297777,4
17,Music,Madonna,#N/A,/wiki/Music_(Madonna_song),Music,/wiki/Madonna,2000,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/audio-analysis/2BcOZ4vOeu2qZowIHrvTYy,225973,4
18,Doesn't Really Matter,Janet Jackson,#N/A,/wiki/Doesn%27t_Really_Matter,Doesn't Really Matter,/wiki/Janet_Jackson,2000,0ekdT3jOhn3LinWtqHhmsw,0,0,0,0,0,0,0,0,0,0,0,,,,,,
19,What a Girl Wants,Christina Aguilera,Solo Female,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),What a Girl Wants,/wiki/Christina_Aguilera,2000,5bGmuxShUba9maPswDnhCs,0.754,0.819,0,-6.833,1,0.112,0.0684,0,0.345,0.818,142.137,audio_features,5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/tracks/5bGmuxShUba9maPswDnhCs,https://api.spotify.com/v1/audio-analysis/5bGmuxShUba9maPswDnhCs,215800,4
20,Back at One,Brian McKnight,#N/A,/wiki/Back_at_One_(song),Back at One,/wiki/Brian_McKnight,2000,6mwA6YiKDjAUG8kWvRRUPh,0.661,0.346,11,-9.115,1,0.03,0.452,0,0.131,0.256,129.752,audio_features,6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/tracks/6mwA6YiKDjAUG8kWvRRUPh,https://api.spotify.com/v1/audio-analysis/6mwA6YiKDjAUG8kWvRRUPh,263667,4
21,Bye Bye Bye,NSYNC,#N/A,/wiki/Bye_Bye_Bye,Bye Bye Bye,/wiki/NSYNC,2000,62bOmKYxYg7dhrC6gH9vFn,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
